CPP,Indicator,Type,Year,value
West Lothian,Median Earnings,Raw data,2006/07,340.7333333333333
Aberdeen City,Median Earnings,Raw data,2007/08,380.8666666666666
Aberdeenshire,Median Earnings,Raw data,2007/08,374.23333333333335
Angus,Median Earnings,Raw data,2007/08,357.26666666666665
Argyll and Bute,Median Earnings,Raw data,2007/08,321.2
Clackmannanshire,Median Earnings,Raw data,2007/08,340.5333333333333
Dumfries and Galloway,Median Earnings,Raw data,2007/08,330.73333333333335
Dundee City,Median Earnings,Raw data,2007/08,334.2333333333333
East Ayrshire,Median Earnings,Raw data,2007/08,361.9666666666667
East Dunbartonshire,Median Earnings,Raw data,2007/08,391.8
East Lothian,Median Earnings,Raw data,2007/08,381.1333333333334
East Renfrewshire,Median Earnings,Raw data,2007/08,427.3
"Edinburgh, City of",Median Earnings,Raw data,2007/08,405.9666666666667
Eilean Siar,Median Earnings,Raw data,2007/08,355.5
Falkirk,Median Earnings,Raw data,2007/08,368.4666666666667
Fife,Median Earnings,Raw data,2007/08,356.76666666666665
Glasgow City,Median Earnings,Raw data,2007/08,348.59999999999997
Highland,Median Earnings,Raw data,2007/08,328.1333333333333
Inverclyde,Median Earnings,Raw data,2007/08,336.4
Midlothian,Median Earnings,Raw data,2007/08,354.5
Moray,Median Earnings,Raw data,2007/08,304.6666666666667
North Ayrshire,Median Earnings,Raw data,2007/08,342
North Lanarkshire,Median Earnings,Raw data,2007/08,348.6333333333334
Orkney Islands,Median Earnings,Raw data,2007/08,320.9
Perth and Kinross,Median Earnings,Raw data,2007/08,345.3
Renfrewshire,Median Earnings,Raw data,2007/08,367.76666666666665
Scotland,Median Earnings,Raw data,2007/08,360.9666666666667
Scottish Borders,Median Earnings,Raw data,2007/08,335.76666666666665
Shetland Islands,Median Earnings,Raw data,2007/08,295.4
South Ayrshire,Median Earnings,Raw data,2007/08,390.09999999999997
South Lanarkshire,Median Earnings,Raw data,2007/08,384.1333333333334
Stirling,Median Earnings,Raw data,2007/08,371.73333333333335
West Dunbartonshire,Median Earnings,Raw data,2007/08,328.56666666666666
West Lothian,Median Earnings,Raw data,2007/08,355.06666666666666
Aberdeen City,Median Earnings,Raw data,2008/09,392.1333333333334
Aberdeenshire,Median Earnings,Raw data,2008/09,399.06666666666666
Angus,Median Earnings,Raw data,2008/09,369.3333333333333
Argyll and Bute,Median Earnings,Raw data,2008/09,335.2
Clackmannanshire,Median Earnings,Raw data,2008/09,346.1666666666667
Dumfries and Galloway,Median Earnings,Raw data,2008/09,339.6333333333333
Dundee City,Median Earnings,Raw data,2008/09,347.6666666666667
East Ayrshire,Median Earnings,Raw data,2008/09,373.36666666666673
East Dunbartonshire,Median Earnings,Raw data,2008/09,412.3333333333333
East Lothian,Median Earnings,Raw data,2008/09,395.4333333333334
East Renfrewshire,Median Earnings,Raw data,2008/09,432.8999999999999
"Edinburgh, City of",Median Earnings,Raw data,2008/09,414.3999999999999
Eilean Siar,Median Earnings,Raw data,2008/09,369.76666666666665
Falkirk,Median Earnings,Raw data,2008/09,390.7333333333333
Fife,Median Earnings,Raw data,2008/09,370.0333333333333
Glasgow City,Median Earnings,Raw data,2008/09,365.3666666666666
Highland,Median Earnings,Raw data,2008/09,342.8333333333333
Inverclyde,Median Earnings,Raw data,2008/09,355.6333333333334
Midlothian,Median Earnings,Raw data,2008/09,365.0333333333333
Moray,Median Earnings,Raw data,2008/09,316.4666666666667
North Ayrshire,Median Earnings,Raw data,2008/09,353.7
North Lanarkshire,Median Earnings,Raw data,2008/09,355.8666666666666
Orkney Islands,Median Earnings,Raw data,2008/09,358.3
Perth and Kinross,Median Earnings,Raw data,2008/09,356.2
Renfrewshire,Median Earnings,Raw data,2008/09,383.76666666666665
Scotland,Median Earnings,Raw data,2008/09,374.59999999999997
Scottish Borders,Median Earnings,Raw data,2008/09,349.1333333333334
Shetland Islands,Median Earnings,Raw data,2008/09,396.7
South Ayrshire,Median Earnings,Raw data,2008/09,402.26666666666665
South Lanarkshire,Median Earnings,Raw data,2008/09,403.73333333333335
Stirling,Median Earnings,Raw data,2008/09,383.8666666666666
West Dunbartonshire,Median Earnings,Raw data,2008/09,345.8
West Lothian,Median Earnings,Raw data,2008/09,365.43333333333334
Aberdeen City,Median Earnings,Raw data,2009/10,398.5666666666666
Aberdeenshire,Median Earnings,Raw data,2009/10,412.9666666666667
Angus,Median Earnings,Raw data,2009/10,376.73333333333335
Argyll and Bute,Median Earnings,Raw data,2009/10,365.6666666666667
Clackmannanshire,Median Earnings,Raw data,2009/10,360.7333333333333
Dumfries and Galloway,Median Earnings,Raw data,2009/10,342.3
Dundee City,Median Earnings,Raw data,2009/10,365.8666666666666
East Ayrshire,Median Earnings,Raw data,2009/10,367.93333333333334
East Dunbartonshire,Median Earnings,Raw data,2009/10,440.0333333333333
East Lothian,Median Earnings,Raw data,2009/10,407.3
East Renfrewshire,Median Earnings,Raw data,2009/10,455.6333333333334
"Edinburgh, City of",Median Earnings,Raw data,2009/10,424.1666666666667
Eilean Siar,Median Earnings,Raw data,2009/10,392.3666666666666
Falkirk,Median Earnings,Raw data,2009/10,397.90000000000003
Fife,Median Earnings,Raw data,2009/10,378.40000000000003
Glasgow City,Median Earnings,Raw data,2009/10,377.93333333333334
Highland,Median Earnings,Raw data,2009/10,361.3333333333333
Inverclyde,Median Earnings,Raw data,2009/10,366.0666666666666
Midlothian,Median Earnings,Raw data,2009/10,377.93333333333334
Moray,Median Earnings,Raw data,2009/10,326.2333333333333
North Ayrshire,Median Earnings,Raw data,2009/10,366.5333333333333
North Lanarkshire,Median Earnings,Raw data,2009/10,364.40000000000003
Orkney Islands,Median Earnings,Raw data,2009/10,354.6
Perth and Kinross,Median Earnings,Raw data,2009/10,364.5333333333333
Renfrewshire,Median Earnings,Raw data,2009/10,394.4666666666667
Scotland,Median Earnings,Raw data,2009/10,385.63333333333327
Scottish Borders,Median Earnings,Raw data,2009/10,354.6333333333334
Shetland Islands,Median Earnings,Raw data,2009/10,416.15
South Ayrshire,Median Earnings,Raw data,2009/10,413.43333333333334
South Lanarkshire,Median Earnings,Raw data,2009/10,409.4666666666667
Stirling,Median Earnings,Raw data,2009/10,384.93333333333334
West Dunbartonshire,Median Earnings,Raw data,2009/10,351.7
West Lothian,Median Earnings,Raw data,2009/10,379.90000000000003
Aberdeen City,Median Earnings,Raw data,2010/11,409.9666666666667
Aberdeenshire,Median Earnings,Raw data,2010/11,414.8666666666666
Angus,Median Earnings,Raw data,2010/11,380
Argyll and Bute,Median Earnings,Raw data,2010/11,369.3666666666666
Clackmannanshire,Median Earnings,Raw data,2010/11,372.06666666666666
Dumfries and Galloway,Median Earnings,Raw data,2010/11,338.8
Dundee City,Median Earnings,Raw data,2010/11,367.6000000000001
East Ayrshire,Median Earnings,Raw data,2010/11,370.4333333333334
East Dunbartonshire,Median Earnings,Raw data,2010/11,464.4666666666667
East Lothian,Median Earnings,Raw data,2010/11,404.53333333333336
East Renfrewshire,Median Earnings,Raw data,2010/11,472.8999999999999
"Edinburgh, City of",Median Earnings,Raw data,2010/11,429.43333333333334
Eilean Siar,Median Earnings,Raw data,2010/11,384.4666666666667
Falkirk,Median Earnings,Raw data,2010/11,403.9666666666667
Fife,Median Earnings,Raw data,2010/11,378.5333333333333
Glasgow City,Median Earnings,Raw data,2010/11,384.43333333333334
Highland,Median Earnings,Raw data,2010/11,368.93333333333334
Inverclyde,Median Earnings,Raw data,2010/11,364.3333333333333
Midlothian,Median Earnings,Raw data,2010/11,384.09999999999997
Moray,Median Earnings,Raw data,2010/11,331.66666666666663
North Ayrshire,Median Earnings,Raw data,2010/11,378.7
North Lanarkshire,Median Earnings,Raw data,2010/11,373.1000000000001
Orkney Islands,Median Earnings,Raw data,2010/11,347.7666666666667
Perth and Kinross,Median Earnings,Raw data,2010/11,372.06666666666666
Renfrewshire,Median Earnings,Raw data,2010/11,397.06666666666666
Scotland,Median Earnings,Raw data,2010/11,390.8
Scottish Borders,Median Earnings,Raw data,2010/11,357.76666666666665
Shetland Islands,Median Earnings,Raw data,2010/11,427
South Ayrshire,Median Earnings,Raw data,2010/11,421.76666666666665
South Lanarkshire,Median Earnings,Raw data,2010/11,412.3666666666666
Stirling,Median Earnings,Raw data,2010/11,392.8333333333333
West Dunbartonshire,Median Earnings,Raw data,2010/11,354.59999999999997
West Lothian,Median Earnings,Raw data,2010/11,389.90000000000003
Aberdeen City,Median Earnings,Raw data,2011/12,420.09999999999997
Aberdeenshire,Median Earnings,Raw data,2011/12,414.1333333333334
Angus,Median Earnings,Raw data,2011/12,381.2
Argyll and Bute,Median Earnings,Raw data,2011/12,371.3666666666666
Clackmannanshire,Median Earnings,Raw data,2011/12,381.9666666666667
Dumfries and Galloway,Median Earnings,Raw data,2011/12,332.3333333333333
Dundee City,Median Earnings,Raw data,2011/12,366.4666666666667
East Ayrshire,Median Earnings,Raw data,2011/12,377.8333333333333
East Dunbartonshire,Median Earnings,Raw data,2011/12,467.2
East Lothian,Median Earnings,Raw data,2011/12,409.1666666666667
East Renfrewshire,Median Earnings,Raw data,2011/12,486.5666666666666
"Edinburgh, City of",Median Earnings,Raw data,2011/12,437
Eilean Siar,Median Earnings,Raw data,2011/12,372.9666666666667
Falkirk,Median Earnings,Raw data,2011/12,404.26666666666665
Fife,Median Earnings,Raw data,2011/12,381.23333333333335
Glasgow City,Median Earnings,Raw data,2011/12,383.7
Highland,Median Earnings,Raw data,2011/12,374.93333333333334
Inverclyde,Median Earnings,Raw data,2011/12,356.9666666666667
Midlothian,Median Earnings,Raw data,2011/12,382.6666666666667
Moray,Median Earnings,Raw data,2011/12,333.8
North Ayrshire,Median Earnings,Raw data,2011/12,380.7666666666667
North Lanarkshire,Median Earnings,Raw data,2011/12,381.56666666666666
Orkney Islands,Median Earnings,Raw data,2011/12,338.3333333333333
Perth and Kinross,Median Earnings,Raw data,2011/12,375.3666666666666
Renfrewshire,Median Earnings,Raw data,2011/12,404.4666666666667
Scotland,Median Earnings,Raw data,2011/12,405.23333333333335
Scottish Borders,Median Earnings,Raw data,2011/12,354.8333333333333
Shetland Islands,Median Earnings,Raw data,2011/12,452.0666666666666
South Ayrshire,Median Earnings,Raw data,2011/12,424.6666666666667
South Lanarkshire,Median Earnings,Raw data,2011/12,412.3333333333333
Stirling,Median Earnings,Raw data,2011/12,401.5333333333333
West Dunbartonshire,Median Earnings,Raw data,2011/12,358.5666666666666
West Lothian,Median Earnings,Raw data,2011/12,401.6000000000001
Aberdeen City,Median Earnings,Raw data,2012/13,427.3666666666666
Aberdeenshire,Median Earnings,Raw data,2012/13,419.09999999999997
Angus,Median Earnings,Raw data,2012/13,382.8
Argyll and Bute,Median Earnings,Raw data,2012/13,360.23333333333335
Clackmannanshire,Median Earnings,Raw data,2012/13,387.6333333333334
Dumfries and Galloway,Median Earnings,Raw data,2012/13,341.1333333333333
Dundee City,Median Earnings,Raw data,2012/13,363.26666666666665
East Ayrshire,Median Earnings,Raw data,2012/13,382.8666666666666
East Dunbartonshire,Median Earnings,Raw data,2012/13,471.7
East Lothian,Median Earnings,Raw data,2012/13,416.5333333333333
East Renfrewshire,Median Earnings,Raw data,2012/13,491.93333333333334
"Edinburgh, City of",Median Earnings,Raw data,2012/13,441.9666666666667
Eilean Siar,Median Earnings,Raw data,2012/13,355.6333333333334
Falkirk,Median Earnings,Raw data,2012/13,414.5
Fife,Median Earnings,Raw data,2012/13,388.3
Glasgow City,Median Earnings,Raw data,2012/13,388.6000000000001
Highland,Median Earnings,Raw data,2012/13,378.5333333333333
Inverclyde,Median Earnings,Raw data,2012/13,356.59999999999997
Midlothian,Median Earnings,Raw data,2012/13,377.76666666666665
Moray,Median Earnings,Raw data,2012/13,336.06666666666666
North Ayrshire,Median Earnings,Raw data,2012/13,385.73333333333335
North Lanarkshire,Median Earnings,Raw data,2012/13,394.6666666666667
Orkney Islands,Median Earnings,Raw data,2012/13,329.59999999999997
Perth and Kinross,Median Earnings,Raw data,2012/13,377.76666666666665
Renfrewshire,Median Earnings,Raw data,2012/13,415.3
Scotland,Median Earnings,Raw data,2012/13,410.56666666666666
Scottish Borders,Median Earnings,Raw data,2012/13,364.3666666666666
Shetland Islands,Median Earnings,Raw data,2012/13,455.5333333333333
South Ayrshire,Median Earnings,Raw data,2012/13,425
South Lanarkshire,Median Earnings,Raw data,2012/13,419.8666666666666
Stirling,Median Earnings,Raw data,2012/13,418.7666666666667
West Dunbartonshire,Median Earnings,Raw data,2012/13,371.0666666666666
West Lothian,Median Earnings,Raw data,2012/13,406.1333333333334
Aberdeen City,Median Earnings,Raw data,2013/14,443.5333333333333
Aberdeenshire,Median Earnings,Raw data,2013/14,424
Angus,Median Earnings,Raw data,2013/14,385.93333333333334
Argyll and Bute,Median Earnings,Raw data,2013/14,356.8666666666666
Clackmannanshire,Median Earnings,Raw data,2013/14,382.6666666666667
Dumfries and Galloway,Median Earnings,Raw data,2013/14,350.5333333333333
Dundee City,Median Earnings,Raw data,2013/14,374.8
East Ayrshire,Median Earnings,Raw data,2013/14,384.8333333333333
East Dunbartonshire,Median Earnings,Raw data,2013/14,477.3666666666666
East Lothian,Median Earnings,Raw data,2013/14,419.90000000000003
East Renfrewshire,Median Earnings,Raw data,2013/14,510.7333333333333
"Edinburgh, City of",Median Earnings,Raw data,2013/14,445.1000000000001
Eilean Siar,Median Earnings,Raw data,2013/14,372.06666666666666
Falkirk,Median Earnings,Raw data,2013/14,422.90000000000003
Fife,Median Earnings,Raw data,2013/14,398.8666666666666
Glasgow City,Median Earnings,Raw data,2013/14,392.76666666666665
Highland,Median Earnings,Raw data,2013/14,384.4333333333334
Inverclyde,Median Earnings,Raw data,2013/14,359.90000000000003
Midlothian,Median Earnings,Raw data,2013/14,377.76666666666665
Moray,Median Earnings,Raw data,2013/14,335.6666666666667
North Ayrshire,Median Earnings,Raw data,2013/14,396.73333333333335
North Lanarkshire,Median Earnings,Raw data,2013/14,400.43333333333334
Orkney Islands,Median Earnings,Raw data,2013/14,332.93333333333334
Perth and Kinross,Median Earnings,Raw data,2013/14,385.0333333333333
Renfrewshire,Median Earnings,Raw data,2013/14,424.26666666666665
Scotland,Median Earnings,Raw data,2013/14,417.56666666666666
Scottish Borders,Median Earnings,Raw data,2013/14,378.8333333333333
Shetland Islands,Median Earnings,Raw data,2013/14,452.56666666666666
South Ayrshire,Median Earnings,Raw data,2013/14,428.7
South Lanarkshire,Median Earnings,Raw data,2013/14,423.9666666666667
Stirling,Median Earnings,Raw data,2013/14,424.90000000000003
West Dunbartonshire,Median Earnings,Raw data,2013/14,380.9666666666667
West Lothian,Median Earnings,Raw data,2013/14,413.8333333333333
Aberdeen City,Median Earnings,Raw data,2014/15,459.9666666666667
Aberdeenshire,Median Earnings,Raw data,2014/15,430.7
Angus,Median Earnings,Raw data,2014/15,388.59999999999997
Argyll and Bute,Median Earnings,Raw data,2014/15,388
Clackmannanshire,Median Earnings,Raw data,2014/15,398.20000000000005
Dumfries and Galloway,Median Earnings,Raw data,2014/15,360.93333333333334
Dundee City,Median Earnings,Raw data,2014/15,380.56666666666666
East Ayrshire,Median Earnings,Raw data,2014/15,393.3333333333333
East Dunbartonshire,Median Earnings,Raw data,2014/15,477.6666666666667
East Lothian,Median Earnings,Raw data,2014/15,425.7666666666667
East Renfrewshire,Median Earnings,Raw data,2014/15,533.5333333333333
"Edinburgh, City of",Median Earnings,Raw data,2014/15,450.26666666666665
Eilean Siar,Median Earnings,Raw data,2014/15,392.6000000000001
Falkirk,Median Earnings,Raw data,2014/15,432.6666666666667
Fife,Median Earnings,Raw data,2014/15,410.23333333333335
Glasgow City,Median Earnings,Raw data,2014/15,401.4666666666667
Highland,Median Earnings,Raw data,2014/15,386.4333333333334
Inverclyde,Median Earnings,Raw data,2014/15,374.23333333333335
Midlothian,Median Earnings,Raw data,2014/15,394.5333333333333
Moray,Median Earnings,Raw data,2014/15,343.9666666666667
North Ayrshire,Median Earnings,Raw data,2014/15,404.06666666666666
North Lanarkshire,Median Earnings,Raw data,2014/15,407.1333333333334
Orkney Islands,Median Earnings,Raw data,2014/15,340.5333333333333
Perth and Kinross,Median Earnings,Raw data,2014/15,396.6333333333334
Renfrewshire,Median Earnings,Raw data,2014/15,428.59999999999997
Scotland,Median Earnings,Raw data,2014/15,415.5333333333333
Scottish Borders,Median Earnings,Raw data,2014/15,403.93333333333334
Shetland Islands,Median Earnings,Raw data,2014/15,449.43333333333334
South Ayrshire,Median Earnings,Raw data,2014/15,432.1666666666667
South Lanarkshire,Median Earnings,Raw data,2014/15,431.93333333333334
Stirling,Median Earnings,Raw data,2014/15,428.86666666666673
West Dunbartonshire,Median Earnings,Raw data,2014/15,385.8999999999999
West Lothian,Median Earnings,Raw data,2014/15,418.5
Aberdeen City,Median Earnings,Raw data,2015/16,466.3
Aberdeenshire,Median Earnings,Raw data,2015/16,426.23333333333335
Angus,Median Earnings,Raw data,2015/16,395.4666666666667
Argyll and Bute,Median Earnings,Raw data,2015/16,400.8333333333333
Clackmannanshire,Median Earnings,Raw data,2015/16,409.8666666666666
Dumfries and Galloway,Median Earnings,Raw data,2015/16,365.4666666666667
Dundee City,Median Earnings,Raw data,2015/16,389.6333333333334
East Ayrshire,Median Earnings,Raw data,2015/16,404.90000000000003
East Dunbartonshire,Median Earnings,Raw data,2015/16,488.09999999999997
East Lothian,Median Earnings,Raw data,2015/16,425.73333333333335
East Renfrewshire,Median Earnings,Raw data,2015/16,541.2666666666667
"Edinburgh, City of",Median Earnings,Raw data,2015/16,457.6666666666667
Eilean Siar,Median Earnings,Raw data,2015/16,403.90000000000003
Falkirk,Median Earnings,Raw data,2015/16,443.23333333333335
Fife,Median Earnings,Raw data,2015/16,417.1000000000001
Glasgow City,Median Earnings,Raw data,2015/16,410.4666666666667
Highland,Median Earnings,Raw data,2015/16,398.5333333333333
Inverclyde,Median Earnings,Raw data,2015/16,389.3666666666666
Midlothian,Median Earnings,Raw data,2015/16,407.90000000000003
Moray,Median Earnings,Raw data,2015/16,352.2
North Ayrshire,Median Earnings,Raw data,2015/16,414.3
North Lanarkshire,Median Earnings,Raw data,2015/16,417.26666666666665
Orkney Islands,Median Earnings,Raw data,2015/16,360.9666666666667
Perth and Kinross,Median Earnings,Raw data,2015/16,412.56666666666666
Renfrewshire,Median Earnings,Raw data,2015/16,437.3333333333333
Scotland,Median Earnings,Raw data,2015/16,423.5
Scottish Borders,Median Earnings,Raw data,2015/16,402.4666666666667
Shetland Islands,Median Earnings,Raw data,2015/16,462.4666666666667
South Ayrshire,Median Earnings,Raw data,2015/16,430.1666666666667
South Lanarkshire,Median Earnings,Raw data,2015/16,435.6333333333334
Stirling,Median Earnings,Raw data,2015/16,439.06666666666666
West Dunbartonshire,Median Earnings,Raw data,2015/16,394.3666666666666
West Lothian,Median Earnings,Raw data,2015/16,423.1666666666667
Aberdeen City,Median Earnings,Raw data,2016/17,458.06666666666666
Aberdeenshire,Median Earnings,Raw data,2016/17,432.6666666666667
Angus,Median Earnings,Raw data,2016/17,401.23333333333335
Argyll and Bute,Median Earnings,Raw data,2016/17,412.26666666666665
Clackmannanshire,Median Earnings,Raw data,2016/17,429.43333333333334
Dumfries and Galloway,Median Earnings,Raw data,2016/17,366
Dundee City,Median Earnings,Raw data,2016/17,396.2666666666667
East Ayrshire,Median Earnings,Raw data,2016/17,424.1333333333334
East Dunbartonshire,Median Earnings,Raw data,2016/17,503.40000000000003
East Lothian,Median Earnings,Raw data,2016/17,436.36666666666673
East Renfrewshire,Median Earnings,Raw data,2016/17,543.1666666666666
"Edinburgh, City of",Median Earnings,Raw data,2016/17,469.3
Eilean Siar,Median Earnings,Raw data,2016/17,418.8
Falkirk,Median Earnings,Raw data,2016/17,450.2666666666667
Fife,Median Earnings,Raw data,2016/17,425.8
Glasgow City,Median Earnings,Raw data,2016/17,420.1666666666667
Highland,Median Earnings,Raw data,2016/17,413.0333333333333
Inverclyde,Median Earnings,Raw data,2016/17,400.6333333333334
Midlothian,Median Earnings,Raw data,2016/17,429.40000000000003
Moray,Median Earnings,Raw data,2016/17,360.2
North Ayrshire,Median Earnings,Raw data,2016/17,423
North Lanarkshire,Median Earnings,Raw data,2016/17,430.8
Orkney Islands,Median Earnings,Raw data,2016/17,353.3999999999999
Perth and Kinross,Median Earnings,Raw data,2016/17,421.7666666666667
Renfrewshire,Median Earnings,Raw data,2016/17,442.43333333333334
Scotland,Median Earnings,Raw data,2016/17,432.76666666666665
Scottish Borders,Median Earnings,Raw data,2016/17,410.8999999999999
Shetland Islands,Median Earnings,Raw data,2016/17,477.40000000000003
South Ayrshire,Median Earnings,Raw data,2016/17,440
South Lanarkshire,Median Earnings,Raw data,2016/17,449.3666666666666
Stirling,Median Earnings,Raw data,2016/17,461.5
West Dunbartonshire,Median Earnings,Raw data,2016/17,407.6666666666667
West Lothian,Median Earnings,Raw data,2016/17,434.23333333333335
Aberdeen City,Business Survival,Imputed,2006/07,68.64779189182664
Aberdeenshire,Business Survival,Imputed,2006/07,76.37448768359191
Angus,Business Survival,Imputed,2006/07,70.24854946857305
Argyll and Bute,Business Survival,Imputed,2006/07,74.44728818637071
Clackmannanshire,Business Survival,Imputed,2006/07,60
Dumfries and Galloway,Business Survival,Imputed,2006/07,70.94694137122927
Dundee City,Business Survival,Imputed,2006/07,60.70241543846308
East Ayrshire,Business Survival,Imputed,2006/07,66.45600831916106
East Dunbartonshire,Business Survival,Imputed,2006/07,75.92366706760818
East Lothian,Business Survival,Imputed,2006/07,68.15402827786292
East Renfrewshire,Business Survival,Imputed,2006/07,66.80952909478356
"Edinburgh, City of",Business Survival,Imputed,2006/07,64.69525506693381
Eilean Siar,Business Survival,Imputed,2006/07,62.80023149815748
Falkirk,Business Survival,Imputed,2006/07,69.75161491248761
Fife,Business Survival,Imputed,2006/07,70.20053926737532
Glasgow City,Business Survival,Imputed,2006/07,61.59404235177626
Highland,Business Survival,Imputed,2006/07,67.10794980288702
Inverclyde,Business Survival,Imputed,2006/07,61.533062248229214
Midlothian,Business Survival,Imputed,2006/07,68.13530035547255
Moray,Business Survival,Imputed,2006/07,71.14449897248709
North Ayrshire,Business Survival,Imputed,2006/07,62.73485309660629
North Lanarkshire,Business Survival,Imputed,2006/07,62.70298242091217
Orkney Islands,Business Survival,Imputed,2006/07,76.72459690414954
Perth and Kinross,Business Survival,Imputed,2006/07,68.30285410502715
Renfrewshire,Business Survival,Imputed,2006/07,67.6778522795525
Scotland,Business Survival,Imputed,2006/07,67.087060817221
Scottish Borders,Business Survival,Imputed,2006/07,68.78564517504124
Shetland Islands,Business Survival,Imputed,2006/07,68.72847685924017
South Ayrshire,Business Survival,Imputed,2006/07,65.11156996188839
South Lanarkshire,Business Survival,Imputed,2006/07,67.02220592559152
Stirling,Business Survival,Imputed,2006/07,68.95239187622148
West Dunbartonshire,Business Survival,Imputed,2006/07,61.52580733629369
West Lothian,Business Survival,Imputed,2006/07,69.08231651835622
Aberdeen City,Business Survival,Imputed,2007/08,68.57212877368814
Aberdeenshire,Business Survival,Imputed,2007/08,75.86639755468138
Angus,Business Survival,Imputed,2007/08,69.55277042541049
Argyll and Bute,Business Survival,Imputed,2007/08,73.59849306348892
Clackmannanshire,Business Survival,Imputed,2007/08,60
Dumfries and Galloway,Business Survival,Imputed,2007/08,70.206935857622
Dundee City,Business Survival,Imputed,2007/08,60.65603495761306
East Ayrshire,Business Survival,Imputed,2007/08,66.12049633809563
East Dunbartonshire,Business Survival,Imputed,2007/08,74.59257784640693
East Lothian,Business Survival,Imputed,2007/08,67.6545900911017
East Renfrewshire,Business Survival,Imputed,2007/08,66.53858877325678
"Edinburgh, City of",Business Survival,Imputed,2007/08,64.29629721395348
Eilean Siar,Business Survival,Imputed,2007/08,63.29153874279899
Falkirk,Business Survival,Imputed,2007/08,68.70775499130238
Fife,Business Survival,Imputed,2007/08,69.41055048531005
Glasgow City,Business Survival,Imputed,2007/08,61.15083763733266
Highland,Business Survival,Imputed,2007/08,67.2383795369428
Inverclyde,Business Survival,Imputed,2007/08,61.39208914448714
Midlothian,Business Survival,Imputed,2007/08,67.64219573497279
Moray,Business Survival,Imputed,2007/08,70.5540306097366
North Ayrshire,Business Survival,Imputed,2007/08,62.727189263804235
North Lanarkshire,Business Survival,Imputed,2007/08,62.32957025530509
Orkney Islands,Business Survival,Imputed,2007/08,76.14536943258489
Perth and Kinross,Business Survival,Imputed,2007/08,67.5194113843268
Renfrewshire,Business Survival,Imputed,2007/08,66.58241451058085
Scotland,Business Survival,Imputed,2007/08,66.61926306078252
Scottish Borders,Business Survival,Imputed,2007/08,68.39003714583204
Shetland Islands,Business Survival,Imputed,2007/08,68.89550141637125
South Ayrshire,Business Survival,Imputed,2007/08,64.97605892725537
South Lanarkshire,Business Survival,Imputed,2007/08,66.43278930321225
Stirling,Business Survival,Imputed,2007/08,68.51450592647663
West Dunbartonshire,Business Survival,Imputed,2007/08,60.80035126269793
West Lothian,Business Survival,Imputed,2007/08,68.26752768589874
Aberdeen City,Business Survival,Imputed,2008/09,68.4965490509115
Aberdeenshire,Business Survival,Imputed,2008/09,75.36168755422639
Angus,Business Survival,Imputed,2008/09,68.86388274841231
Argyll and Bute,Business Survival,Imputed,2008/09,72.75937529996001
Clackmannanshire,Business Survival,Imputed,2008/09,60
Dumfries and Galloway,Business Survival,Imputed,2008/09,69.47464890311798
Dundee City,Business Survival,Imputed,2008/09,60.60968991438094
East Ayrshire,Business Survival,Imputed,2008/09,65.78667823381103
East Dunbartonshire,Business Survival,Imputed,2008/09,73.28482520236572
East Lothian,Business Survival,Imputed,2008/09,67.15881182743964
East Renfrewshire,Business Survival,Imputed,2008/09,66.2687472269919
"Edinburgh, City of",Business Survival,Imputed,2008/09,63.89979962437717
Eilean Siar,Business Survival,Imputed,2008/09,63.786689648568476
Falkirk,Business Survival,Imputed,2008/09,67.6795168379633
Fife,Business Survival,Imputed,2008/09,68.62945169586168
Glasgow City,Business Survival,Imputed,2008/09,60.71082203682614
Highland,Business Survival,Imputed,2008/09,67.36906277174738
Inverclyde,Business Survival,Imputed,2008/09,61.25143901209172
Midlothian,Business Survival,Imputed,2008/09,67.15265978101576
Moray,Business Survival,Imputed,2008/09,69.96846287728704
North Ayrshire,Business Survival,Imputed,2008/09,62.719526367233485
North Lanarkshire,Business Survival,Imputed,2008/09,61.958381853864246
Orkney Islands,Business Survival,Imputed,2008/09,75.5705148020302
Perth and Kinross,Business Survival,Imputed,2008/09,66.74495485468186
Renfrewshire,Business Survival,Imputed,2008/09,65.50470756292329
Scotland,Business Survival,Imputed,2008/09,66.1547272558778
Scottish Borders,Business Survival,Imputed,2008/09,67.9967043836844
Shetland Islands,Business Survival,Imputed,2008/09,69.06293187806996
South Ayrshire,Business Survival,Imputed,2008/09,64.84082991992591
South Lanarkshire,Business Survival,Imputed,2008/09,65.84855621590077
Stirling,Business Survival,Imputed,2008/09,68.07940079549334
West Dunbartonshire,Business Survival,Imputed,2008/09,60.083449103914546
West Lothian,Business Survival,Imputed,2008/09,67.46234885025312
Aberdeen City,Business Survival,Raw data,2009/10,68.42105
Aberdeenshire,Business Survival,Raw data,2009/10,74.86034
Angus,Business Survival,Raw data,2009/10,68.18182
Argyll and Bute,Business Survival,Raw data,2009/10,71.92982
Clackmannanshire,Business Survival,Raw data,2009/10,60
Dumfries and Galloway,Business Survival,Raw data,2009/10,68.75
Dundee City,Business Survival,Raw data,2009/10,60.56338
East Ayrshire,Business Survival,Raw data,2009/10,65.45455
East Dunbartonshire,Business Survival,Raw data,2009/10,72
East Lothian,Business Survival,Raw data,2009/10,66.66667
East Renfrewshire,Business Survival,Raw data,2009/10,66
"Edinburgh, City of",Business Survival,Raw data,2009/10,63.50575
Eilean Siar,Business Survival,Raw data,2009/10,64.28571
